,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
457,Mul,IN,20.0667,79.6667,77.68,87,81,3.15,broken clouds
458,Mahenge,TZ,-8.6833,36.7167,72.9,39,14,5.79,few clouds
459,Douentza,ML,14.9951,-2.9517,99.57,18,48,4.81,scattered clouds
460,Antsohihy,MG,-14.8796,47.9875,75.02,69,11,3.13,few clouds
461,Balkhash,KZ,46.844,74.9804,46.33,43,100,1.63,overcast clouds
462,Palu,ID,-0.8917,119.8707,75.7,96,100,3.38,overcast clouds
463,Pochutla,MX,15.7432,-96.4661,88.83,58,76,3.96,broken clouds
464,Gomel,BY,52.4345,30.9754,49.98,71,0,8.95,clear sky
465,Valle De Allende,MX,26.9333,-105.4,59.79,84,100,8.77,overcast clouds
466,Vrangel,RU,42.7297,133.0839,64.87,92,100,5.46,moderate rain
467,Oktyabrskoye,RU,43.0645,44.7417,48.34,93,90,6.71,mist
468,Kloulklubed,PW,7.0419,134.2556,81.1,79,100,7.25,overcast clouds
469,Jaque,PA,7.5175,-78.1703,83.25,75,57,5.57,light rain
470,Nara,JP,34.6851,135.8049,71.49,65,1,2.68,clear sky
471,Jagraon,IN,30.7833,75.4833,83.35,64,8,6.11,clear sky
472,Sinnamary,GF,5.3833,-52.95,85.82,66,11,7.29,few clouds
473,Bintulu,MY,3.1667,113.0333,75.61,100,40,5.99,scattered clouds
474,Marche-En-Famenne,BE,50.2,5.3333,54.12,95,100,8.3,overcast clouds
475,Norman Wells,CA,65.282,-126.8329,35.64,93,90,16.11,moderate rain
476,Middle Island,US,40.8843,-72.9373,78.26,67,1,5.01,clear sky
477,Marfino,RU,55.7028,37.3822,44.1,84,100,4.47,overcast clouds
478,Bambous Virieux,MU,-20.3428,57.7575,72.21,88,75,12.66,light rain
479,Lompoc,US,34.6391,-120.4579,92.12,45,1,0.0,clear sky
480,Morehead,US,37.2711,-87.1764,75.31,87,75,8.05,broken clouds
481,San Javier,ES,37.8063,-0.8374,87.39,56,0,8.01,clear sky
482,Miandrivazo,MG,-19.5167,45.4667,82.63,52,5,11.27,clear sky
483,Aripuana,BR,-9.1667,-60.6333,97.11,35,45,2.95,scattered clouds
484,Saldanha,ZA,-33.0117,17.9442,60.85,74,2,20.89,clear sky
485,Plastun,RU,44.7561,136.2939,56.66,90,99,5.55,overcast clouds
486,Hanstholm,DK,57.1167,8.6167,53.51,88,100,14.43,light rain
487,Chimbote,PE,-9.0853,-78.5783,68.36,71,85,10.69,overcast clouds
488,Aklavik,CA,68.2191,-135.0107,34.63,100,90,14.97,light intensity drizzle
489,Brusturoasa,RO,46.5167,26.2,48.33,76,51,1.68,broken clouds
490,Bridgeton,US,39.4273,-75.2341,83.05,51,1,1.99,clear sky
491,Kruisfontein,ZA,-34.0033,24.7314,55.89,70,32,9.86,scattered clouds
492,Svetlaya,RU,46.5389,138.3297,54.28,80,31,6.51,scattered clouds
493,Mykhaylivka,UA,47.2724,35.2224,55.67,42,100,11.01,overcast clouds
494,Pyshma,RU,56.9523,63.2513,34.23,67,98,7.61,overcast clouds
495,Loreto,MX,22.2667,-101.9667,63.32,67,99,9.69,overcast clouds
496,Moose Factory,CA,51.2585,-80.6094,57.2,67,1,8.05,clear sky
497,Olafsvik,IS,64.8945,-23.7142,41.97,90,100,32.17,overcast clouds
498,Carauari,BR,-4.8828,-66.8958,97.47,38,46,3.78,scattered clouds
499,Nacogdoches,US,31.6002,-94.6335,87.12,57,20,0.0,few clouds
500,Batemans Bay,AU,-35.7167,150.1833,55.9,93,34,5.68,scattered clouds
501,Havre-Saint-Pierre,CA,50.2334,-63.5986,53.96,66,90,6.91,overcast clouds
502,Guadalupe Y Calvo,MX,26.1,-106.9667,61.16,65,100,3.91,overcast clouds
503,Mumford,GH,5.2618,-0.759,79.74,83,83,11.79,broken clouds
504,Ayna,PE,-12.65,-73.9167,81.1,66,81,4.16,broken clouds
505,Saint Anthony,US,45.0205,-93.218,67.78,80,40,1.99,scattered clouds
506,Dawei,MM,14.0833,98.2,76.71,92,75,1.7,broken clouds
507,Bubaque,GW,11.2833,-15.8333,82.11,74,100,8.72,overcast clouds
508,Fukuma,JP,33.7667,130.4667,70.16,66,1,4.94,clear sky
509,Kijang,KR,35.2442,129.2139,69.53,80,43,8.32,scattered clouds
510,Karpathos,GR,35.507,27.2132,69.76,64,20,25.32,few clouds
511,Kpandu,GH,6.9954,0.2931,80.8,80,100,1.48,light rain
512,Carbonia,IT,39.1672,8.5222,77.95,67,42,8.41,scattered clouds
513,Saint-Augustin,CA,51.226,-58.6502,45.43,79,100,8.3,overcast clouds
514,Chissamba,AO,-12.1667,17.3333,80.42,18,13,1.1,few clouds
515,Yarmouth,US,41.7057,-70.2286,76.15,80,75,5.99,broken clouds
516,Belmonte,BR,-15.8631,-38.8828,84.7,66,23,13.18,few clouds
517,Mweka,CD,-4.85,21.5667,68.86,94,89,2.62,overcast clouds
518,Hovd,MN,48.0056,91.6419,34.47,34,2,3.56,clear sky
519,Sychevka,RU,55.8252,34.2736,43.54,80,100,5.66,light rain
520,Puerto Escondido,MX,15.85,-97.0667,86.04,66,56,5.14,broken clouds
521,Itoman,JP,26.1247,127.6694,82.42,65,20,9.22,few clouds
522,Egvekinot,RU,66.3167,-179.1667,24.44,97,100,2.91,light snow
523,Mossendjo,CG,-2.9506,12.7261,76.66,77,78,3.06,broken clouds
524,Seoul,KR,37.5683,126.9778,71.04,88,0,4.61,clear sky
525,Alvand,IR,36.3187,49.1678,53.87,73,10,4.18,clear sky
526,Batsfjord,NO,70.6345,29.7185,50.22,71,0,40.29,clear sky
527,Jinchang,CN,38.4953,102.1739,50.13,42,96,9.4,overcast clouds
528,Oyama,JP,36.3,139.8,75.58,77,45,2.51,scattered clouds
529,Esfarayen,IR,37.0765,57.5101,62.26,48,0,5.5,clear sky
530,Nyurba,RU,63.2842,118.3319,28.11,77,73,4.41,broken clouds
531,Wilmington,US,34.2257,-77.9447,83.95,57,1,5.75,clear sky
532,Mandera,KE,3.9366,41.867,93.34,31,23,10.31,few clouds
533,Koutsouras,GR,35.0339,25.9469,70.11,52,5,14.12,clear sky
534,Bogorodskoye,RU,56.55,37.8833,42.12,75,99,4.79,overcast clouds
535,Urusha,RU,54.05,122.9,28.13,77,10,3.0,clear sky
536,Bitung,ID,1.4451,125.1824,76.05,83,98,8.23,overcast clouds
537,Buchanan,LR,5.8808,-10.0467,85.96,77,64,7.23,light rain
538,Arlit,NE,18.7369,7.3853,96.42,10,0,3.38,clear sky
539,Qasigiannguit,GL,68.8193,-51.1922,25.81,69,68,2.08,broken clouds
540,Bathsheba,BB,13.2167,-59.5167,90.21,58,40,25.32,scattered clouds
541,Begichevskiy,RU,53.7961,38.255,44.04,67,13,5.99,few clouds
542,Kitgum,UG,3.2783,32.8867,69.17,89,52,4.38,light rain
543,Russell,US,32.3502,-85.1999,77.13,80,40,3.44,scattered clouds
544,Grindavik,IS,63.8424,-22.4338,48.15,81,75,23.02,broken clouds
545,Zhangjiakou,CN,40.81,114.8794,52.36,43,86,9.8,overcast clouds
546,Camana,PE,-16.6228,-72.7111,64.26,76,89,10.16,overcast clouds
547,Gat,IL,31.61,34.7642,77.68,68,40,8.68,scattered clouds
548,Atasu,KZ,48.6814,71.6433,43.56,87,100,14.54,overcast clouds
549,Nanortalik,GL,60.1432,-45.2371,40.91,71,0,3.87,clear sky
550,Beloha,MG,-25.1667,45.05,73.2,77,11,6.13,few clouds
551,Sorong,ID,-0.8833,131.25,76.55,89,100,9.51,overcast clouds
552,Aginskoye,RU,51.1,114.53,35.53,56,100,4.21,overcast clouds
553,Saint-Joseph,RE,-21.3667,55.6167,73.78,78,26,12.37,scattered clouds
554,Nisia Floresta,BR,-6.0911,-35.2086,88.18,52,30,16.02,scattered clouds
555,Nelson Bay,AU,-32.7167,152.15,64.69,82,60,8.88,broken clouds
556,Soanierana Ivongo,MG,-16.9167,49.5833,70.77,91,32,4.63,light rain
557,Marawi,PH,7.9986,124.2928,67.64,99,100,0.47,light rain
558,Labuhan,ID,-6.8844,112.2051,78.94,72,70,10.92,broken clouds
559,Sabha,LY,27.0377,14.4283,83.91,24,1,8.14,clear sky
560,Ulaanbaatar,MN,47.9077,106.8832,24.93,80,20,2.24,few clouds
561,Kita,ML,13.0349,-9.4895,89.44,54,27,1.61,scattered clouds
562,Aswan,EG,24.0934,32.907,92.5,19,0,13.8,clear sky
563,Mahibadhoo,MV,3.7833,72.9667,83.01,77,12,16.33,few clouds
564,Pangnirtung,CA,66.1451,-65.7125,33.8,93,40,0.0,fog
565,Nador,MA,35.174,-2.9287,80.67,68,20,13.8,few clouds
566,Aldan,RU,58.6031,125.3894,19.98,94,59,3.29,broken clouds
567,Ketchikan,US,55.3422,-131.6461,41.47,87,75,4.61,light rain
568,Merauke,ID,-8.4667,140.3333,76.15,88,97,3.47,overcast clouds
569,Wawa,NG,9.9022,4.4192,83.71,71,25,2.06,scattered clouds
570,Conway,US,35.0887,-92.4421,78.35,83,40,6.91,scattered clouds
571,Santa Isabel Do Rio Negro,BR,-0.4139,-65.0192,93.79,45,95,3.4,overcast clouds
572,Coachella,US,33.6803,-116.1739,95.11,20,35,2.55,scattered clouds
573,Bereznik,RU,62.8551,42.7072,43.18,93,100,3.83,overcast clouds
574,Yima,CN,34.7381,111.8839,69.49,94,85,1.95,light rain
575,Foz,ES,43.5692,-7.2544,65.93,66,10,8.86,clear sky
576,Aktau,KZ,43.65,51.2,55.98,31,97,18.16,overcast clouds
577,Taoudenni,ML,22.6783,-3.9836,106.75,6,53,5.84,broken clouds
578,Muzhi,RU,65.3667,64.6667,29.97,77,19,4.16,few clouds
579,Ust-Tsilma,RU,65.441,52.1498,38.8,94,100,4.36,overcast clouds
580,Asau,RO,46.4333,26.4,52.39,78,60,1.39,broken clouds
581,Oregon City,US,45.3573,-122.6068,61.32,77,1,1.01,clear sky
582,Dicamay,PH,16.7561,122.0037,73.15,97,94,1.19,overcast clouds
583,Cabo San Lucas,MX,22.8909,-109.9124,88.52,61,20,0.0,few clouds
584,Westport,US,41.1415,-73.3579,78.98,70,1,7.0,clear sky
585,Talisayan,PH,6.9872,121.9272,79.59,87,98,9.08,overcast clouds
586,Hienghene,NC,-20.6833,164.9333,70.95,91,11,4.56,few clouds
587,Lermontovka,RU,47.1453,134.3383,43.27,96,99,4.18,overcast clouds
588,Menongue,AO,-14.6585,17.691,78.62,13,8,5.03,clear sky
589,Lagos,NG,6.5833,3.75,80.62,80,56,5.88,broken clouds
590,Qaqortoq,GL,60.7167,-46.0333,46.04,50,2,7.87,clear sky
591,Christchurch,NZ,-43.5333,172.6333,53.91,85,75,1.99,light rain
592,Les Escoumins,CA,48.1111,-69.0236,45.75,74,99,6.2,overcast clouds
593,Kamaishi,JP,39.2667,141.8833,63.34,90,3,10.89,clear sky
594,Umm Lajj,SA,25.0213,37.2685,81.82,70,5,12.35,clear sky
595,Ustye,RU,59.6304,39.736,41.79,83,99,4.92,overcast clouds
596,Mendi,PG,-6.1761,143.6513,53.02,98,88,3.02,overcast clouds
597,Lodja,CD,-3.4833,23.4333,71.67,96,73,1.99,broken clouds
598,Zhangye,CN,38.9342,100.4517,49.12,33,90,4.85,overcast clouds
599,Svetlogorsk,BY,52.6333,29.7333,49.06,69,76,7.27,broken clouds
600,Tateyama,JP,34.9833,139.8667,70.02,78,4,7.27,clear sky
601,Candolim,IN,15.5181,73.7626,81.66,85,33,5.84,light rain
602,Broken Hill,AU,-31.95,141.4333,53.31,54,0,9.22,clear sky
603,San Luis,AR,-33.295,-66.3356,62.91,16,0,6.71,clear sky
604,Tolga,DZ,34.7222,5.3785,92.21,19,6,4.14,clear sky
605,Sinjar,IQ,36.3209,41.8754,80.4,29,0,12.73,clear sky
606,Tezu,IN,27.9167,96.1667,74.48,97,90,2.39,overcast clouds
607,Nago,JP,26.5881,127.9761,82.47,64,0,16.02,clear sky
608,Palmer,US,42.1584,-72.3287,73.47,64,90,0.0,overcast clouds
609,Prozor,BA,43.8222,17.6092,65.5,66,0,4.74,clear sky
610,Potiskum,NG,11.7091,11.0694,88.47,31,1,3.69,clear sky
611,Kenai,US,60.5544,-151.2583,38.14,85,90,0.0,overcast clouds
612,Lazaro Cardenas,MX,17.9583,-102.2,85.14,62,68,0.87,broken clouds
613,Pemba,MZ,-12.974,40.5178,79.5,73,20,15.99,few clouds
614,Zhigalovo,RU,54.8097,105.1578,33.12,87,100,1.95,overcast clouds
615,Khor,RU,47.8861,134.9464,42.42,92,99,6.35,overcast clouds
616,Nuevitas,CU,21.5453,-77.2644,85.35,64,92,9.57,overcast clouds
617,Naze,JP,28.3667,129.4833,77.56,62,0,18.95,clear sky
618,Sao Raimundo Das Mangabeiras,BR,-7.0219,-45.4811,93.34,34,61,6.49,broken clouds
619,Manoel Urbano,BR,-8.8389,-69.2597,98.87,32,18,3.67,few clouds
620,El Alto,PE,-4.2714,-81.2147,69.46,63,76,16.67,broken clouds
621,Garmsar,IR,35.2182,52.3409,76.41,32,0,4.65,clear sky
622,Sola,VU,-13.8833,167.55,79.21,78,39,5.1,scattered clouds
623,Salinas,US,36.6777,-121.6555,86.04,45,1,10.36,clear sky
624,Batagay-Alyta,RU,67.8006,130.4114,20.59,84,94,3.02,overcast clouds
625,San Jose,US,37.3394,-121.895,82.6,36,20,0.0,smoke
626,Swan River,CA,52.1058,-101.2676,58.89,47,84,3.44,broken clouds
627,Korla,CN,41.7597,86.1469,52.47,30,20,4.72,few clouds
628,Mamallapuram,IN,12.6264,80.1722,82.45,76,6,7.25,clear sky
629,Vanavara,RU,60.34,102.2797,33.84,91,100,4.56,overcast clouds
630,La Cruz,MX,23.9167,-106.9,85.62,64,85,2.35,overcast clouds
631,Kupino,RU,54.3663,77.2981,34.38,99,100,2.24,overcast clouds
632,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,45.19,81,40,6.71,scattered clouds
633,Cambridge,CA,43.3601,-80.3127,68.97,98,90,3.44,light rain
634,Bitlis,TR,38.5,42.25,57.25,39,0,7.14,clear sky
635,Barpeta,IN,26.3167,91.0,80.69,91,31,1.41,scattered clouds
636,Palau,PW,7.503,134.621,80.56,89,75,3.44,broken clouds
637,Stephenville,US,32.2207,-98.2023,80.94,61,1,5.75,clear sky
638,Mount Isa,AU,-20.7333,139.5,78.57,22,7,4.61,light rain
639,Tahta,EG,26.7693,31.5021,84.52,29,0,14.58,clear sky
640,Gizo,SB,-8.103,156.8419,81.73,77,80,6.71,broken clouds
641,Lismore,AU,-28.8135,153.2773,59.7,80,18,8.05,few clouds
642,Kaeo,NZ,-35.1,173.7833,62.33,97,100,12.59,light rain
643,Bulgan,MN,48.8125,103.5347,31.21,88,5,0.92,clear sky
644,Gravdal,NO,68.1214,13.5031,55.08,78,100,30.18,overcast clouds
645,Beisfjord,NO,68.3751,17.5988,55.45,89,98,9.75,overcast clouds
646,Lopsmarka,NO,67.3134,14.4493,55.29,64,75,11.99,broken clouds
647,Rabaul,PG,-4.1967,152.1721,79.48,80,33,9.51,scattered clouds
648,Mrakovo,RU,52.7161,56.6244,36.41,92,40,5.79,scattered clouds
649,Laguna,US,38.421,-121.4238,80.44,47,1,0.0,clear sky
650,Moyo,UG,3.6609,31.7247,68.76,87,85,2.35,light rain
651,Geraldton,AU,-28.7667,114.6,46.81,93,0,3.44,clear sky
652,Lewiston,US,44.1003,-70.2148,56.75,98,90,3.44,overcast clouds
653,Eureka,US,40.8021,-124.1637,52.41,65,71,4.36,broken clouds
654,Ambilobe,MG,-13.2,49.05,73.18,73,12,2.95,few clouds
655,Turukhansk,RU,65.8167,87.9833,30.25,97,95,4.05,overcast clouds
656,Caibarien,CU,22.5206,-79.4669,83.43,71,20,14.61,few clouds
657,Kanchanaburi,TH,14.6333,99.1,75.45,92,91,2.95,moderate rain
658,Belaya Gora,RU,68.5333,146.4167,19.72,87,59,1.81,broken clouds
659,Ust-Ishim,RU,57.6935,71.1665,31.19,96,97,6.29,overcast clouds
660,Mandalgovi,MN,45.7625,106.2708,35.15,55,39,3.65,scattered clouds
661,Auki,SB,-8.7676,160.7034,76.44,88,31,2.15,scattered clouds
662,Fujieda,JP,34.8667,138.2667,71.87,88,6,4.09,clear sky
663,General Roca,AR,-39.0333,-67.5833,59.4,17,0,10.85,clear sky
664,Una,IN,20.8167,71.0333,79.52,83,34,7.87,scattered clouds
665,Kingisepp,RU,59.3733,28.6134,50.13,76,73,10.18,broken clouds
666,Nizhniy Novgorod,RU,56.3287,44.002,44.11,81,75,4.47,broken clouds
667,Baoqing,CN,46.3317,132.2111,45.32,93,61,6.33,broken clouds
668,Pontes E Lacerda,BR,-15.2261,-59.3353,100.87,26,39,8.9,scattered clouds
669,Luba,GQ,3.4568,8.5547,82.29,84,53,6.82,broken clouds
670,Garut,ID,-7.2024,107.8878,68.05,96,91,3.13,overcast clouds
671,Oyo,NG,7.85,3.9333,74.73,90,93,6.22,moderate rain
672,Litovko,RU,49.2361,135.1742,43.16,87,100,4.56,overcast clouds
673,Bhitarwar,IN,25.8,78.1167,82.44,71,11,7.61,few clouds
674,Kharp,RU,66.8014,65.8081,29.44,80,37,4.52,scattered clouds
675,Boyolangu,ID,-8.1181,111.8935,74.01,87,65,4.05,broken clouds
676,Tilichiki,RU,60.4667,166.1,37.62,95,100,16.53,moderate rain
677,Vryburg,ZA,-26.9566,24.7284,65.21,18,0,5.12,clear sky
678,Joetsu,JP,37.1483,138.2364,66.72,67,0,9.93,clear sky
679,Ranong,TH,9.9658,98.6348,78.15,85,39,3.18,scattered clouds
680,Tinskoy,RU,56.1525,96.9161,32.29,78,100,3.38,overcast clouds
681,Sistranda,NO,63.7256,8.834,63.9,83,100,12.08,light rain
682,Port Keats,AU,-14.25,129.55,78.78,86,98,7.65,overcast clouds
683,Saint-Michel-Des-Saints,CA,46.6834,-73.9159,56.93,49,1,4.03,clear sky
684,Altay,CN,47.8667,88.1167,32.72,48,47,4.36,scattered clouds
685,Kilis,TR,36.7161,37.115,75.43,48,25,9.55,scattered clouds
686,Embonas,GR,36.2269,27.8564,71.83,64,0,15.03,clear sky
687,Coos Bay,US,43.3665,-124.2179,56.23,100,20,3.44,mist
